,ISRG,AMZN,ARE,IPG,DHR,HOLX,NTAP,HUM,XOM,CCI,WY,TECH,CBRE,STX,MHK,MCK,C,CMI,ETR,A,SW,CFG,RTX,REG,TYL,NOW,FICO,FRT,AKAM,ADP,URI,WMB,CAT,JNJ,MPC,TPR,BF-B,CMCSA,ROL,CDNS,OXY,WRB,HSY,FIS,GLW,CAH,EOG,CCL,DLR,DTE
HSY,0.00197888269059824,0.03892321382054878,0.0019686527257460275,0.011869630089407366,0.004697693167130764,0.02822670895554888,0.08649200007438448,0.05151804923822879,0.005161912302961506,0.0009038004908683993,0.04760920240663035,0.029505656676859893,0.020961792602177887,0.02091855312137187,0.046874509940407885,0.028226708871140593,0.015215757648333404,0.002276449765644341,0.11089072699367129,0.009553946407691957,0.028226708934270817,0.06953765149491659,0.004176010435679591,0.00279410804836242,0.02154468516341254,0.004428654767569158,0.029197865271807826,0.007413900321295654,0.08698533250465215,0.00392913619854673,0.006538125951433774,0.06393316983616082,0.005375908027134713,0.004942269445195744,0.04794127900031995,0.10669869637586141,0.033394733939563874,0.009086452114114617,0.061728705444247293,0.018987555493414854,0.001632866965378172,0.009721730467786707,1.0,0.012107862861698631,0.01824375786356047,0.004116959875438264,0.003821505138732819,0.0012314765930693129,0.010775228057130389,0.03218099682426967
FIS,0.4545871657976788,0.004627585497699437,0.17143759591257618,0.17817950903464,0.3081680720631278,0.0006730268710706596,0.05512897124331661,0.0010986498875738692,0.35805406159576136,0.2868098448558913,0.1747663448117889,0.2572362188432671,0.07542349278175968,0.19068708562916184,0.03564491385209012,0.19887598152825503,0.222506391486784,0.17348524088018538,0.024882694558889168,0.29037956702291895,0.009515442294882753,0.09176978969433866,0.2843311268476404,0.13961275892597977,0.2815533985817332,0.2592649281179908,0.016820640486080778,0.3603763248458931,0.0066590089292916385,0.24269332340036226,0.360376324844087,0.027428394348087266,0.3315082982454782,0.2522976946190613,0.15725336711221966,0.06943891695060532,0.16383894562858062,0.2937152465699058,0.009790929258608971,0.16876051747998522,0.21374700700315316,0.2881907591731006,0.012107862861698631,1.0,0.16192957081956688,0.20324712355715546,0.2328927959761893,0.31400004076852195,0.3603763248367273,0.23730488861252666
GLW,0.17520622088105706,0.026911819436592606,0.18210874583175674,0.21707252653042955,0.2520730407352768,0.013477516904267144,0.13003477710350642,0.01191059600829268,0.215814541137484,0.2804217163642104,0.3908495265483337,0.10921766693747466,0.28980036940217146,0.30347722727330256,0.051091526741282305,0.15839989077516045,0.19460660921548195,0.2499460801655686,0.01832361136023388,0.2705136079777734,0.029063180736060255,0.08802581257286632,0.25927071870319746,0.334820288548299,0.22943978338479065,0.1579331701023258,0.04598976708965283,0.27050022736304424,0.011841018151582065,0.2667880467456701,0.181375358862167,0.018077183400074345,0.2557763203325627,0.20175985360646126,0.11037487249226079,0.08806982119047362,0.0980023690560509,0.18486238500473856,0.01910448343228852,0.34221732659461956,0.20192463949082992,0.2237008937705694,0.01824375786356047,0.16192957081956688,1.0,0.316177978360828,0.28278316194585335,0.2827660637355099,0.23067403379220539,0.04292157857133424
CAH,0.2896108566993285,0.01355635019797683,0.38570296950580085,0.3535211873807408,0.3946410247931253,0.0019476023602415155,0.04392587197596503,0.002724690173728781,0.3151668555821384,0.3747325784369937,0.2495791856571691,0.11076271022006556,0.1850922708439812,0.2310211040999071,0.02033582241023517,0.13260547451538698,0.3618615669438714,0.43389729444547187,0.004962633315813476,0.32130772060577173,0.03032040432182097,0.05999577903066509,0.5322505140783245,0.41205426047356614,0.21353213433368334,0.2548877495596328,0.023605925428336987,0.2889357011818144,0.0020985179895278328,0.3946410248044863,0.20517396482101521,0.01508427589733705,0.35419120386653735,0.3662201147409533,0.10819145593073665,0.046914371621093395,0.06880535584569467,0.3268898096309036,0.007143201651741016,0.24104833653619445,0.43763391703260585,0.3697762461895039,0.004116959875438264,0.20324712355715546,0.316177978360828,1.0,0.43171311779789745,0.22393630092725914,0.28654810003347136,0.048566825148943976
EOG,0.24530727550822456,0.011361510464988603,0.5094209569534731,0.3342049302740827,0.42493017759036567,0.0014270451380404773,0.04345612832203083,0.001912623982479019,0.3363300700231107,0.38007609035250123,0.25427930758043044,0.10303068900419032,0.17493557428494297,0.12314249718212752,0.02846261468842,0.1451116720956728,0.22989375534394904,0.47484671170108544,0.006106137579413974,0.4389386606058706,0.01973638023497405,0.053468393045958074,0.5209135798332764,0.34852875913833165,0.24319908840317228,0.25257841617215027,0.02201402537591335,0.4322718650999614,0.0032201524783423987,0.5609235630999054,0.2525963365701727,0.015216316023206371,0.27559041246015387,0.5134209368445819,0.08106467234440991,0.02518176697333729,0.07715840547315832,0.33036284219424694,0.009865805173935817,0.24755787468858398,0.3967817677092551,0.43189517655933796,0.003821505138732819,0.2328927959761893,0.28278316194585335,0.43171311779789745,1.0,0.3029371015194478,0.3374414881649966,0.062134202115272784
CCL,0.41974522986102725,0.00116686418477785,0.21716760579269886,0.18129237859148656,0.3014954796568744,0.00016683763214538113,0.036010939569440105,0.00022994747916652301,0.399131124653957,0.4306988629844639,0.1998106707224091,0.18987956697950475,0.10579051064059404,0.24643597872037212,0.010735275986593445,0.1615120230140722,0.17185862961562107,0.3195892765438015,0.0049826274363798965,0.41978906676022965,0.0021618708542992067,0.04217420707474559,0.27167397962068185,0.30081945905664387,0.2773594337781428,0.44335248037408725,0.004420891543314947,0.3707991400812679,0.0012702367916697609,0.29802624335215105,0.2919636265490148,0.005087021016026412,0.33423712376069453,0.25635938783026724,0.07421470688526015,0.01499365642145683,0.09005794178800546,0.2550660208511246,0.00279183537122414,0.3123024365120161,0.24613303535484254,0.2968725185007237,0.0012314765930693129,0.31400004076852195,0.2827660637355099,0.22393630092725914,0.3029371015194478,1.0,0.3040499009174773,0.07989392769341397
DLR,0.3131948551166082,0.015469600087880956,0.28624806637813865,0.2816044016446162,0.3116016223294199,0.0038986397598844112,0.05534532419254163,0.0027455372064413403,0.2942370055877668,0.31649151432030126,0.2933593288093621,0.21624473421678814,0.11743650744233713,0.17073376468483428,0.03129958604422685,0.17438180155033464,0.19175571047108012,0.25892765963147796,0.018021665125066914,0.25208197228830476,0.016604173840799274,0.10800400228507116,0.3318717635053397,0.19650023344057177,0.2394400606975989,0.4125452639293466,0.03917397723175883,0.3227818063012364,0.010684983891472993,0.3080970819318795,0.275156652057908,0.03364724364202405,0.45330757400894195,0.31037940680286563,0.11388459606332146,0.06442883903288546,0.1404459123231529,0.3670932331578102,0.012388012723236412,0.2196135293075815,0.24044281387256192,0.37695358995193584,0.010775228057130389,0.3603763248367273,0.23067403379220539,0.28654810003347136,0.3374414881649966,0.3040499009174773,1.0,0.15506836292145948
DTE,0.12673771340072124,0.0085113008193426,0.04854475158075476,0.10767430314388264,0.08058249611625147,0.002398634737799002,0.03331452680730019,0.0028216908972992696,0.1264828727849142,0.0716395210600855,0.07358137929979128,0.3287879308678795,0.0411741497242082,0.09995898574454454,0.07875473700582365,0.1515216555977781,0.15581077611063893,0.04275437815987159,0.12166505312189313,0.13106166438941755,0.02069406149238482,0.11553484301894298,0.07948095711356935,0.03426370125974615,0.13559161512991563,0.1784403782550715,0.016903781407587852,0.13078281672488198,0.04275456676779509,0.07561084202934026,0.16166422176123385,0.09727217094591856,0.13727398661695875,0.07996550589850641,0.13285952955234073,0.10016384766205003,0.18026504252926037,0.16593009023945676,0.010819152039266797,0.09328026120339084,0.05267562407077462,0.15087259613725165,0.03218099682426967,0.23730488861252666,0.04292157857133424,0.048566825148943976,0.062134202115272784,0.07989392769341397,0.15506836292145948,1.0
