strategy,n_assets,total_return,total_return_bench,excess_return,volatility,volatility_bench,sharpe_ratio,tracking_error,max_drawdown
Strategy 1 (Index Tracking),14,0.0028506079899148773,0.01485059230620056,-0.011999984316285683,0.12695138936002268,0.11974848958030078,0.3428455234390998,0.05595002852719581,-0.03529461832497708
Strategy 2a (GMV),7,0.026181767755026897,0.01485059230620056,0.011331175448826336,0.12120430618793492,0.11974848958030078,2.745973388957671,0.09603887528161999,-0.029613930704296503
Strategy 2b (MV),2,0.03637368854434109,0.01485059230620056,0.021523096238140527,0.18728231642996246,0.11974848958030078,2.492303702628542,0.18363892352727929,-0.021726885626713755
