Date,SPY
2022-01-03,453.2104187011719
2022-01-04,453.0586242675781
2022-01-05,444.3589782714844
2022-01-06,443.94146728515625
2022-01-07,442.186279296875
2022-01-10,441.6360778808594
2022-01-11,445.6585998535156
2022-01-12,446.863525390625
2022-01-13,440.7062683105469
2022-01-14,440.8866271972656
2022-01-18,433.0787048339844
2022-01-19,428.5817565917969
2022-01-20,423.8381652832031
2022-01-21,415.5179748535156
2022-01-24,417.2825927734375
2022-01-25,412.18798828125
2022-01-26,411.1539306640625
2022-01-27,409.1236267089844
2022-01-28,419.28436279296875
2022-01-31,426.836181640625
2022-02-01,429.72027587890625
2022-02-02,433.8945617675781
2022-02-03,423.6959533691406
2022-02-04,425.6882019042969
2022-02-07,424.3220520019531
2022-02-08,427.8133544921875
2022-02-09,434.0748596191406
2022-02-10,426.27642822265625
2022-02-11,417.87078857421875
2022-02-14,416.504638671875
2022-02-15,423.2215270996094
2022-02-16,423.6959533691406
2022-02-17,414.6451416015625
2022-02-18,411.96026611328125
2022-02-22,407.5392761230469
2022-02-23,400.31011962890625
2022-02-24,406.33441162109375
2022-02-25,415.2998046875
2022-02-28,414.23724365234375
2022-03-01,407.9283142089844
2022-03-02,415.4325866699219
2022-03-03,413.36431884765625
2022-03-04,410.00592041015625
2022-03-07,397.9192810058594
2022-03-08,394.90240478515625
2022-03-09,405.4900817871094
2022-03-10,403.6590881347656
2022-03-11,398.5264892578125
2022-03-14,395.6139831542969
2022-03-15,404.3136901855469
2022-03-16,413.2790222167969
2022-03-17,418.4494934082031
2022-03-18,423.0326843261719
2022-03-21,422.9090270996094
2022-03-22,427.85760498046875
2022-03-23,422.3475341796875
2022-03-24,428.714111328125
2022-03-25,430.8077697753906
2022-03-28,433.8721008300781
2022-03-29,439.239501953125
2022-03-30,436.5273132324219
2022-03-31,429.80853271484375
2022-04-01,431.02667236328125
2022-04-04,434.7191162109375
2022-04-05,429.2279968261719
2022-04-06,424.93597412109375
2022-04-07,427.07720947265625
2022-04-08,425.9352111816406
2022-04-11,418.65509033203125
2022-04-12,417.10382080078125
2022-04-13,421.8811340332031
2022-04-14,416.6280517578125
2022-04-18,416.7992858886719
2022-04-19,423.527587890625
2022-04-20,423.2135009765625
2022-04-21,416.885009765625
2022-04-22,405.446044921875
2022-04-25,407.7966003417969
2022-04-26,395.9864501953125
2022-04-27,397.09991455078125
2022-04-28,407.13043212890625
2022-04-29,392.0846862792969
2022-05-02,394.4447937011719
2022-05-03,396.25299072265625
2022-05-04,408.32000732421875
2022-05-05,393.8071594238281
2022-05-06,391.4565734863281
2022-05-09,378.9231872558594
2022-05-10,379.7987365722656
2022-05-11,373.7651672363281
2022-05-12,373.3749694824219
2022-05-13,382.30157470703125
2022-05-16,380.7503356933594
2022-05-17,388.5825500488281
2022-05-18,372.91815185546875
2022-05-19,370.6341857910156
2022-05-20,370.7959899902344
2022-05-23,377.73358154296875
2022-05-24,374.8500671386719
2022-05-25,378.1618347167969
2022-05-26,385.718017578125
2022-05-27,395.18707275390625
2022-05-31,392.9697570800781
2022-06-01,389.79119873046875
2022-06-02,397.21417236328125
2022-06-03,390.6953125
2022-06-06,391.88482666015625
2022-06-07,395.64385986328125
2022-06-08,391.3424072265625
2022-06-09,382.03515625
2022-06-10,370.957763671875
2022-06-13,356.8731384277344
2022-06-14,355.79779052734375
2022-06-15,360.8702392578125
2022-06-16,348.9267272949219
2022-06-17,349.6789245605469
2022-06-21,358.4817199707031
2022-06-22,357.83172607421875
2022-06-23,361.3394470214844
2022-06-24,372.8277893066406
2022-06-27,371.40374755859375
2022-06-28,363.8148498535156
2022-06-29,363.5185852050781
2022-06-30,360.56524658203125
2022-07-01,364.3788146972656
2022-07-05,365.06695556640625
2022-07-06,366.2999267578125
2022-07-07,371.7860107421875
2022-07-08,371.480224609375
2022-07-11,367.23651123046875
2022-07-12,363.98687744140625
2022-07-13,362.07537841796875
2022-07-14,361.196044921875
2022-07-15,368.0967712402344
2022-07-18,365.05743408203125
2022-07-19,374.92095947265625
2022-07-20,377.3104248046875
2022-07-21,381.152587890625
2022-07-22,377.6162414550781
2022-07-25,378.07501220703125
2022-07-26,373.6020202636719
2022-07-27,383.3031005859375
2022-07-28,388.1106262207031
2022-07-29,393.768798828125
2022-08-01,392.6026611328125
2022-08-02,390.0125732421875
2022-08-03,396.1199645996094
2022-08-04,395.8523864746094
2022-08-05,395.1833801269531
2022-08-08,394.7245788574219
2022-08-09,393.1571350097656
2022-08-10,401.4149475097656
2022-08-11,401.4149475097656
2022-08-12,408.2105407714844
2022-08-15,409.89263916015625
2022-08-16,410.695556640625
2022-08-17,407.78045654296875
2022-08-18,408.9656066894531
2022-08-19,403.46990966796875
2022-08-22,395.0686340332031
2022-08-23,394.1128845214844
2022-08-24,395.3744812011719
2022-08-25,400.95623779296875
2022-08-26,387.38427734375
2022-08-29,384.82281494140625
2022-08-30,380.5982971191406
2022-08-31,377.7022705078125
2022-09-01,378.8874206542969
2022-09-02,374.89227294921875
2022-09-06,373.4776916503906
2022-09-07,380.1872863769531
2022-09-08,382.6722412109375
2022-09-09,388.6171875
2022-09-12,392.7939147949219
2022-09-13,375.7142028808594
2022-09-14,377.1478576660156
2022-09-15,372.8660583496094
