cluster_name,type,retorno_total,volatilidad,sharpe_ratio,max_drawdown,valor_final,num_tickers
Sharpe_Cluster_1,Sharpe Ratio,-0.21958929833570517,0.214784408353589,-2.199858829975281,-0.2666919897333141,0.780410701664295,39
Sharpe_Cluster_2,Sharpe Ratio,-0.2901604965314003,0.32757144767079077,-1.9205094654176775,-0.3487580510212269,0.7098395034685997,3
Sharpe_Cluster_3,Sharpe Ratio,-0.10396977377506933,0.2861814524325875,-0.626709894710791,-0.26640554795106375,0.89603022622493,156
Sharpe_Cluster_4,Sharpe Ratio,-0.29994268937410584,0.33059597546655356,-1.9838961036724287,-0.34836832032279597,0.7000573106258942,14
Sharpe_Cluster_5,Sharpe Ratio,0.04833813977808199,0.1879343229848745,0.5956870426541606,-0.13284472456009544,1.0483381397780818,206
Sharpe_Cluster_6,Sharpe Ratio,-0.01088917394962019,0.36956466485308687,0.12128328453013731,-0.2963912688172997,0.9891108260503795,106
Sharpe_Cluster_7,Sharpe Ratio,0.19260102283426184,0.4302723656873332,1.0309275806779103,-0.3003694250975124,1.1926010228342623,76
Sharpe_Cluster_8,Sharpe Ratio,0.1144650662969362,0.18661481527031115,1.2542171487709477,-0.1269031041955695,1.1144650662969362,225
Sharpe_Cluster_9,Sharpe Ratio,0.40000041914097584,0.42867918665425336,1.7824357667141184,-0.30847636695312064,1.400000419140976,36
Sharpe_Cluster_10,Sharpe Ratio,0.2125907822339903,0.18404316109344304,2.1872269285564236,-0.11613282395536528,1.2125907822339907,110
Sharpe_Cluster_11,Sharpe Ratio,0.414143289732293,0.20194160525303648,3.53725449347593,-0.09937486257102779,1.414143289732293,24
Sharpe_Cluster_12,Sharpe Ratio,0.9577909857718574,0.7700098420782023,2.126429206796683,-0.4108221315481926,1.9577909857718574,2
Vol_Cluster_1,Volatilidad,0.1294798036464797,0.17045468327712876,1.5143096844844688,-0.06862411291038961,1.12947980364648,12
Vol_Cluster_2,Volatilidad,0.010968967049471035,0.1589689036890034,0.21647693097287354,-0.07447830646251674,1.010968967049471,8
Vol_Cluster_3,Volatilidad,0.1673974269541716,0.1595204927104171,2.021058612048624,-0.06780401613819387,1.1673974269541714,10
Vol_Cluster_4,Volatilidad,0.1890006416919383,0.16611081516252615,2.167934998913161,-0.0941426855930142,1.1890006416919383,87
Vol_Cluster_5,Volatilidad,-0.10403663038277289,0.1938289374352152,-1.037398024573738,-0.1917997676429808,0.8959633696172273,52
Vol_Cluster_6,Volatilidad,0.06439904407468822,0.18275000465321686,0.7740378343524182,-0.1222134036008573,1.0643990440746878,128
Vol_Cluster_7,Volatilidad,0.07606545585137181,0.21748994550130313,0.782329075495131,-0.16401225234240357,1.0760654558513718,153
Vol_Cluster_8,Volatilidad,0.2532934419821984,0.24617880360281946,1.9566037407617978,-0.16803963759008256,1.2532934419821984,63
Vol_Cluster_9,Volatilidad,-0.09063624049789298,0.29757214847989255,-0.49248788944124977,-0.27002584917271444,0.9093637595021072,97
Vol_Cluster_10,Volatilidad,-0.1410270577887861,0.3363182298969389,-0.7387355782063799,-0.264494742123384,0.8589729422112141,59
Vol_Cluster_11,Volatilidad,0.4237597606731993,0.3710535147589378,2.090051320834045,-0.24984691065865539,1.423759760673199,23
Vol_Cluster_12,Volatilidad,0.12830942559784808,0.34011414254488287,0.8771448048665021,-0.258221012322126,1.1283094255978479,49
Vol_Cluster_13,Volatilidad,0.2164619764639384,0.5305727367249781,1.0026132302576598,-0.34222478520699906,1.2164619764639384,23
Vol_Cluster_14,Volatilidad,-0.2060425677758263,0.34560059711793006,-1.1610485512663997,-0.3308341001338979,0.7939574322241737,23
Vol_Cluster_15,Volatilidad,-0.3919422945255826,0.5059260734012786,-1.6811451107807687,-0.4312737690223112,0.6080577054744174,2
Vol_Cluster_16,Volatilidad,-0.3919422945255826,0.5059260734012786,-1.6811451107807687,-0.4312737690223112,0.6080577054744174,2
Vol_Cluster_17,Volatilidad,-0.06452658547111667,0.5904003675435555,0.06256897187706054,-0.4354653643600753,0.9354734145288833,18
Vol_Cluster_18,Volatilidad,0.7683886514455893,0.7004871893578697,1.976014335233001,-0.37303811141118015,1.7683886514455893,3
Vol_Cluster_19,Volatilidad,0.18705680886493803,0.7004749489369656,0.8423724975417758,-0.4999522205498892,1.1870568088649378,4
Vol_Cluster_20,Volatilidad,0.9577909857718574,0.7700098420782023,2.126429206796683,-0.4108221315481926,1.9577909857718574,2
Vol_Cluster_21,Volatilidad,-0.2175129014676046,0.7584378809452547,-0.2741388553240756,-0.48301114948299306,0.7824870985323954,3
Return_Cluster_4,Retorno Total,-0.23873086941888544,0.2591051443813835,-1.9744674316406767,-0.2559180926716277,0.7612691305811146,2
Return_Cluster_52,Retorno Total,0.023886949668517676,0.2804762355956208,0.3092490583544187,-0.13897004264102186,1.0238869496685177,2
Return_Cluster_80,Retorno Total,0.05836157367312711,0.22639904384447215,0.6141696519041479,-0.11411603149110094,1.058361573673127,2
Return_Cluster_84,Retorno Total,-0.23873086941888544,0.2591051443813835,-1.9744674316406767,-0.2559180926716277,0.7612691305811146,2
Return_Cluster_95,Retorno Total,0.059716710921559946,0.1901599422629317,0.7048749151916883,-0.07807817310648946,1.05971671092156,2
Return_Cluster_100,Retorno Total,0.005411161407250509,0.2326937987136298,0.16227448156487692,-0.13111898967043667,1.0054111614072505,2
Return_Cluster_147,Retorno Total,0.052706157094571715,0.30231462698187894,0.4914277207156791,-0.2583890992542174,1.0527061570945717,2
