#,Company,Symbol,Weight,Price,Chg,% Chg
398,Smurfit WestRock,SW,0.03%,34.31,-1.34,(-3.76%)
399,Snap-on,SNA,0.03%,340.24,1.76,(0.52%)
400,J.B. Hunt,JBHT,0.03%,184.83,5.09,(2.83%)
401,Paramount Skydance Corp,PSKY,0.03%,15.92,0.2,(1.30%)
402,McCormick & Company,MKC,0.03%,65.4,-1.0,(-1.50%)
403,International Flavors & Fragrances,IFF,0.03%,68.44,-0.83,(-1.19%)
404,GoDaddy,GDDY,0.03%,129.6,1.66,(1.29%)
405,Pentair,PNR,0.03%,105.51,0.45,(0.43%)
406,Packaging Corporation of America,PKG,0.03%,191.87,-11.37,(-5.59%)
407,Evergy,EVRG,0.03%,74.61,-0.91,(-1.21%)
408,Alliant Energy,LNT,0.03%,66.7,-0.9,(-1.33%)
409,Invitation Homes,INVH,0.03%,27.86,0.07,(0.23%)
410,Lennox International,LII,0.03%,486.73,-2.73,(-0.56%)
411,Dow Inc.,DOW,0.03%,23.94,0.1,(0.41%)
412,Fortive,FTV,0.03%,53.2,0.43,(0.81%)
413,Aptiv,APTV,0.03%,77.76,0.82,(1.07%)
414,Essex Property Trust,ESS,0.03%,259.5,-0.74,(-0.28%)
415,Hologic,HOLX,0.03%,74.88,0.03,(0.05%)
416,DuPont,DD,0.03%,39.58,-0.33,(-0.84%)
417,Qnity Electronics,Q,0.03%,79.14,1.54,(1.98%)
418,Gartner,IT,0.03%,228.67,-2.11,(-0.91%)
419,Gen Digital,GEN,0.03%,26.32,0.04,(0.13%)
420,Jacobs Solutions,J,0.03%,134.6,1.76,(1.32%)
421,Mid-America Apartment Communities,MAA,0.03%,135.09,-0.28,(-0.21%)
422,Weyerhaeuser,WY,0.03%,21.89,-0.23,(-1.05%)
423,Best Buy,BBY,0.03%,74.34,-2.9,(-3.76%)
424,Erie Indemnity,ERIE,0.03%,294.91,1.14,(0.39%)
425,LyondellBasell,LYB,0.03%,47.9,-0.02,(-0.05%)
426,TKO Group Holdings,TKO,0.02%,195.02,1.03,(0.53%)
427,Albemarle Corporation,ALB,0.02%,128.96,0.63,(0.49%)
428,Cooper Companies (The),COO,0.02%,75.45,-1.96,(-2.53%)
429,Solventum,SOLV,0.02%,85.98,0.42,(0.49%)
430,Universal Health Services,UHS,0.02%,238.19,-1.24,(-0.52%)
431,Textron,TXT,0.02%,82.28,0.28,(0.35%)
432,Domino's,DPZ,0.02%,424.66,0.8,(0.19%)
433,Allegion,ALLE,0.02%,164.95,-0.22,(-0.14%)
434,Fox Corporation (Class B),FOX,0.02%,59.52,0.18,(0.30%)
435,Brown–Forman,BF.B,0.02%,29.63,-0.09,(-0.32%)
436,Fox Corporation (Class A),FOXA,0.02%,66.59,0.2,(0.31%)
437,"F5, Inc.",FFIV,0.02%,238.24,-0.33,(-0.14%)
438,Wynn Resorts,WYNN,0.02%,133.06,0.29,(0.22%)
439,Kimco Realty,KIM,0.02%,20.31,-0.18,(-0.90%)
440,Deckers Brands,DECK,0.02%,91.86,-0.16,(-0.17%)
441,Avery Dennison,AVY,0.02%,172.43,-0.1,(-0.06%)
442,Masco,MAS,0.02%,64.17,-0.6,(-0.93%)
443,Nordson Corporation,NDSN,0.02%,236.62,1.59,(0.68%)
444,Everest Group,EG,0.02%,313.29,1.2,(0.38%)
445,IDEX Corporation,IEX,0.02%,175.4,0.76,(0.44%)
446,Ball Corporation,BALL,0.02%,48.36,-0.67,(-1.37%)
447,Clorox,CLX,0.02%,106.11,-0.3,(-0.29%)
448,Zebra Technologies,ZBRA,0.02%,254.81,3.52,(1.40%)
449,Regency Centers,REG,0.02%,69.73,-1.11,(-1.56%)
450,Hormel Foods,HRL,0.02%,22.97,-0.34,(-1.44%)
451,Jack Henry & Associates,JKHY,0.02%,172.96,-1.24,(-0.71%)
452,Healthpeak Properties,DOC,0.02%,17.99,-0.21,(-1.13%)
453,Akamai Technologies,AKAM,0.02%,86.65,-1.06,(-1.21%)
454,Builders FirstSource,BLDR,0.02%,112.64,-0.54,(-0.47%)
455,Viatris,VTRS,0.02%,10.76,0.06,(0.51%)
456,CF Industries,CF,0.02%,78.45,-1.36,(-1.70%)
457,Huntington Ingalls Industries,HII,0.02%,308.08,1.43,(0.46%)
458,Host Hotels & Resorts,HST,0.02%,17.5,-0.05,(-0.31%)
459,"UDR, Inc.",UDR,0.02%,36.14,0.04,(0.12%)
460,Revvity,RVTY,0.02%,103.85,1.42,(1.39%)
461,Franklin Resources,BEN,0.02%,22.48,-0.06,(-0.29%)
462,Hasbro,HAS,0.02%,81.49,-1.2,(-1.45%)
463,"BXP, Inc.",BXP,0.02%,71.69,-0.28,(-0.39%)
464,Camden Property Trust,CPT,0.02%,106.05,-0.01,(-0.01%)
465,Assurant,AIZ,0.02%,223.19,-2.24,(-1.00%)
466,Dayforce,DAY,0.02%,69.23,0.1,(0.15%)
467,Stanley Black & Decker,SWK,0.02%,70.96,0.4,(0.57%)
468,Invesco,IVZ,0.02%,24.44,-0.23,(-0.91%)
469,J.M. Smucker Company (The),SJM,0.02%,101.13,-1.96,(-1.90%)
470,Align Technology,ALGN,0.02%,150.28,3.56,(2.43%)
471,EPAM Systems,EPAM,0.02%,192.81,2.39,(1.26%)
472,Pinnacle West,PNW,0.02%,88.79,-0.53,(-0.60%)
473,Globe Life,GL,0.02%,131.85,-0.68,(-0.51%)
474,FactSet,FDS,0.02%,278.27,1.14,(0.41%)
475,Skyworks Solutions,SWKS,0.02%,67.78,1.95,(2.97%)
476,AES Corporation,AES,0.02%,14.0,0.0,(0.04%)
477,Bio-Techne,TECH,0.02%,63.4,-0.36,(-0.57%)
478,MGM Resorts,MGM,0.02%,35.53,0.09,(0.27%)
479,Baxter International,BAX,0.02%,18.7,-0.38,(-2.02%)
480,News Corp (Class A),NWSA,0.02%,25.45,-0.07,(-0.28%)
481,Moderna,MRNA,0.02%,24.12,-0.05,(-0.19%)
482,Alexandria Real Estate Equities,ARE,0.02%,53.69,0.59,(1.11%)
483,A. O. Smith,AOS,0.01%,66.01,-0.01,(-0.02%)
484,Molson Coors Beverage Company,TAP,0.01%,46.47,-0.44,(-0.95%)
485,Pool Corporation,POOL,0.01%,244.29,0.91,(0.38%)
486,APA Corporation,APA,0.01%,25.51,0.22,(0.89%)
487,Generac,GNRC,0.01%,153.74,4.52,(3.03%)
488,Interpublic Group of Companies (The),IPG,0.01%,24.57,0.0,(0.00%)
489,Paycom,PAYC,0.01%,162.05,0.24,(0.15%)
490,Campbell Soup Company,CPB,0.01%,29.76,-0.84,(-2.73%)
491,Charles River Laboratories,CRL,0.01%,176.34,0.25,(0.14%)
492,Norwegian Cruise Line Holdings,NCLH,0.01%,18.58,0.0,(0.03%)
493,Henry Schein,HSIC,0.01%,71.83,-1.28,(-1.76%)
494,Federal Realty Investment Trust,FRT,0.01%,97.71,-0.61,(-0.62%)
495,DaVita,DVA,0.01%,118.86,-0.38,(-0.32%)
496,Conagra Brands,CAG,0.01%,17.21,-0.47,(-2.63%)
497,Lamb Weston,LW,0.01%,58.81,-0.7,(-1.17%)
498,Match Group,MTCH,0.01%,33.52,-0.23,(-0.70%)
499,Mosaic Company (The),MOS,0.01%,24.22,-0.75,(-2.98%)
500,Solstice Advanced Materials Inc.,SOLS,0.01%,46.77,-0.95,(-2.00%)
501,LKQ Corporation,LKQ,0.01%,28.91,-0.56,(-1.92%)
502,Molina Healthcare,MOH,0.01%,143.84,-1.16,(-0.80%)
503,Mohawk Industries,MHK,0.01%,115.08,-0.38,(-0.32%)
504,News Corp (Class B),NWS,0.01%,28.95,-0.04,(-0.12%)
