Date,SPY
2022-01-03,453.21038818359375
2022-01-04,453.05859375
2022-01-05,444.35888671875
2022-01-06,443.9414978027344
2022-01-07,442.1862487792969
2022-01-10,441.6361083984375
2022-01-11,445.6585693359375
2022-01-12,446.86346435546875
2022-01-13,440.7063903808594
2022-01-14,440.88653564453125
2022-01-18,433.07867431640625
2022-01-19,428.581787109375
2022-01-20,423.83819580078125
2022-01-21,415.5179748535156
2022-01-24,417.2825622558594
2022-01-25,412.1880187988281
2022-01-26,411.1539611816406
2022-01-27,409.1236267089844
2022-01-28,419.2843933105469
2022-01-31,426.8361511230469
2022-02-01,429.7202453613281
2022-02-02,433.8945617675781
2022-02-03,423.6958923339844
2022-02-04,425.68817138671875
2022-02-07,424.3220520019531
2022-02-08,427.8133544921875
2022-02-09,434.0748596191406
2022-02-10,426.2763977050781
2022-02-11,417.87078857421875
2022-02-14,416.5045471191406
2022-02-15,423.2215270996094
2022-02-16,423.6958923339844
2022-02-17,414.6451721191406
2022-02-18,411.9603271484375
2022-02-22,407.5392761230469
2022-02-23,400.3101806640625
2022-02-24,406.3344421386719
2022-02-25,415.29974365234375
2022-02-28,414.2372131347656
2022-03-01,407.9283142089844
2022-03-02,415.4326171875
2022-03-03,413.3644104003906
2022-03-04,410.0059509277344
2022-03-07,397.9193115234375
2022-03-08,394.90240478515625
2022-03-09,405.4900817871094
2022-03-10,403.6590270996094
2022-03-11,398.5264892578125
2022-03-14,395.6139221191406
2022-03-15,404.3135986328125
2022-03-16,413.2790222167969
2022-03-17,418.44952392578125
2022-03-18,423.0326843261719
2022-03-21,422.90899658203125
2022-03-22,427.8575744628906
2022-03-23,422.3475341796875
2022-03-24,428.7140808105469
2022-03-25,430.80780029296875
2022-03-28,433.8721008300781
2022-03-29,439.23944091796875
2022-03-30,436.5272216796875
2022-03-31,429.80853271484375
2022-04-01,431.0267028808594
2022-04-04,434.71905517578125
2022-04-05,429.22802734375
2022-04-06,424.9360046386719
2022-04-07,427.0772705078125
2022-04-08,425.9352111816406
2022-04-11,418.655029296875
2022-04-12,417.1037902832031
2022-04-13,421.8811340332031
2022-04-14,416.62799072265625
2022-04-18,416.79931640625
2022-04-19,423.5275573730469
2022-04-20,423.2135009765625
2022-04-21,416.8849792480469
2022-04-22,405.4459533691406
2022-04-25,407.7966003417969
2022-04-26,395.9864807128906
2022-04-27,397.099853515625
2022-04-28,407.13043212890625
2022-04-29,392.08465576171875
2022-05-02,394.4447326660156
2022-05-03,396.25299072265625
2022-05-04,408.32000732421875
2022-05-05,393.80718994140625
2022-05-06,391.4565734863281
2022-05-09,378.9232177734375
2022-05-10,379.7987060546875
2022-05-11,373.76513671875
