pca_variance,umap_dim,umap_neighbors,umap_min_dist,n_cubes,perc_overlap,dbscan_eps,min_samples,num_nodes,num_links,num_clusters,num_clusters_used,num_tickers_portfolio,train_sharpe,train_return,train_vol,train_max_dd,val_sharpe,val_return,val_vol,val_max_dd,sharpe_diff,overfitting_score,success
0.5,1,15,0.1,5,0.3,0.3,3,20,5,20,3,31,0.9185379501150226,0.18877682430794873,0.20551880767072217,-0.17389394564074134,0.3062608659747959,0.05139932973165625,0.16782859138093803,-0.26161926222362697,0.6122770841402267,0.6665778850656691,True
0.5,1,15,0.1,5,0.3,0.35,3,19,5,19,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.5,1,15,0.1,5,0.3,0.4,3,10,2,10,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.5,1,15,0.1,5,0.4,0.3,3,26,11,26,3,26,0.8254030647636382,0.19606241341554087,0.23753535912988782,-0.2148376386012745,0.4348160322019905,0.07530005450055206,0.17317681254579867,-0.18861147678790402,0.39058703256164773,0.4732076354398998,True
0.5,1,15,0.1,5,0.4,0.35,3,21,7,21,3,25,1.1132510851971291,0.25060615216069826,0.2251119765280284,-0.19199173903219316,0.801651395620631,0.13161862460947826,0.164184364087061,-0.14896843598840978,0.3115996895764981,0.2799006385170705,True
0.5,1,15,0.1,5,0.4,0.4,3,10,3,10,3,25,1.1132510851971291,0.25060615216069826,0.2251119765280284,-0.19199173903219316,0.801651395620631,0.13161862460947826,0.164184364087061,-0.14896843598840978,0.3115996895764981,0.2799006385170705,True
0.5,1,15,0.1,6,0.3,0.3,3,21,6,21,3,30,0.7829350776763394,0.14435016288294553,0.18437053977880272,-0.14182553334085254,0.5262669401083546,0.07279927638905431,0.1383314642072433,-0.12695415618590683,0.2566681375679848,0.32782812379507387,True
0.5,1,15,0.1,6,0.3,0.35,3,22,8,22,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.5,1,15,0.1,6,0.3,0.4,3,11,4,11,3,31,1.084293725854631,0.19711081641874548,0.1817872885535554,-0.13659435519180205,1.4649622215476144,0.20177556432679705,0.13773431243410322,-0.10666359052231912,-0.38066849569298333,0.3510750699889402,True
0.5,1,15,0.1,6,0.4,0.3,3,23,9,23,3,26,0.8471712395854404,0.19711713462599117,0.23267684904228997,-0.2086780105300106,0.5122986650930572,0.08663391637401238,0.1691082219749209,-0.17789738309341047,0.33487257449238317,0.39528321884044554,True
0.5,1,15,0.1,6,0.4,0.35,3,26,13,26,3,17,1.475385142835665,0.2693954800275571,0.18259332577375936,-0.13110988791416928,1.4665929439347736,0.22615455006779567,0.15420403527991736,-0.09974612787417189,0.008792198900891446,0.005959256770061402,True
0.5,1,15,0.1,6,0.4,0.4,3,14,7,14,3,18,1.4746041633606262,0.2692635127183717,0.18260053742471438,-0.1314757262474234,1.4677569003708812,0.2264275476163689,0.15426774526432402,-0.0996462088042752,0.006847262989744918,0.004643458332668741,True
0.5,1,15,0.1,8,0.3,0.3,3,26,8,26,3,32,0.8024185289280618,0.14601822126706118,0.1819726439544269,-0.14175978330289013,0.4796873336107298,0.06573733722014968,0.13704205346705292,-0.13387296194069723,0.32273119531733196,0.40219808451889,True
0.5,1,15,0.1,8,0.3,0.35,3,23,8,23,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.5,1,15,0.1,8,0.3,0.4,3,13,6,13,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.5,1,15,0.1,8,0.4,0.3,3,27,11,27,3,32,0.8024185289280618,0.14601822126706118,0.1819726439544269,-0.14175978330289013,0.4796873336107298,0.06573733722014968,0.13704205346705292,-0.13387296194069723,0.32273119531733196,0.40219808451889,True
0.5,1,15,0.1,8,0.4,0.35,3,26,11,26,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.5,1,15,0.1,8,0.4,0.4,3,15,8,15,3,25,1.4455363449581136,0.26875689221789045,0.18592191967727942,-0.13748360411481422,1.3805871918899293,0.2137695338950508,0.15483957489306774,-0.10448661657384216,0.06494915306818427,0.044930833662343,True
0.5,2,15,0.1,5,0.3,0.3,3,32,16,32,3,32,0.8024185289280618,0.14601822126706118,0.1819726439544269,-0.14175978330289013,0.4796873336107298,0.06573733722014968,0.13704205346705292,-0.13387296194069723,0.32273119531733196,0.40219808451889,True
